Countries,Drug Addicts,People of a Different Race,Heavy Drinkers,Immigrants / Foreign Workers,People Who Have AIDS,Homosexuals,Unmaried Couples Living Together,People Who Speak A Different Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,85.40,44.00,79.70,39.90,71.10,65.30,69.60,39.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,86.80,9.30,68.30,10.70,31.70,44.30,10.40,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,95.50,21.60,69.40,14.10,74.80,27.90,21.60,30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,73.90,5.50,65.40,7.20,25.60,39.60,3.50,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,94.90,8.80,73.60,46.00,67.10,83.40,62.40,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,81.60,23.50,76.10,21.30,42.40,54.20,17.80,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,93.20,17.20,84.30,32.20,54.30,66.20,7.80,18.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,91.20,3.50,51.90,5.40,8.70,88.40,4.50,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,79.40,12.60,61.90,35.80,42.90,31.60,15.10,10.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,71.70,10.90,62.50,13.60,26.50,35.50,4.70,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,85.70,19.20,60.00,40.90,17.70,37.90,15.30,15.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,97.00,34.10,69.60,44.20,88.50,79.80,50.60,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,73.20,4.80,43.10,7.50,12.30,5.10,1.30,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,74.70,2.80,51.40,3.50,6.40,4.20,0.30,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,95.40,8.40,85.50,20.20,62.70,40.80,12.30,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,78.80,39.70,62.80,58.20,45.90,39.80,18.30,28.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,83.90,1.50,55.50,6.80,11.90,47.30,3.50,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,81.40,16.90,71.90,18.80,35.10,68.90,68.10,12.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,93.30,35.80,83.30,30.50,74.90,85.40,65.40,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,91.50,16.90,83.60,19.30,52.30,61.70,8.40,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,88.30,5.60,68.90,13.60,13.40,20.40,6.60,12.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,60.00,1.60,51.30,1.70,5.50,9.60,0.90,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,97.90,14.00,84.10,12.30,84.40,65.00,50.90,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,92.50,34.00,86.30,24.20,81.90,68.70,76.30,31.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,75.60,8.10,54.80,13.70,4.90,90.20,26.00,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
